абордаж,-1,
аборт,-1,
абрикос,1,
абсурд,-1,
абсурдность,-1,
абсурдный,-1,
абсцесс,-1,
авантюра,-1,
авантюризм,-1,
авантюрист,-1,
авантюристка,-1,
авантюристский,-1,
аварийность,-1,
аварийный,-1,
авария,-1,
авиабомба,-1,
авиакатастрофа,-1,
авианалёт,-1,
авиаудар,-1,
авитаминоз,-1,
авитаминозный,-1,
автобусик,1,
автозак,-1,
автокатастрофа,-1,
авторитаризм,-1,
авторитарность,-1,
авторитарный,-1,
авторитет,1,
авторитетность,1,
авторитетный,1,
авторство,1,
автоугон,-1,
автоугонщик,-1,
агония,-1,
агрессивность,-1,
агрессивный,-1,
агрессия,-1,
агрессор,-1,
адаптация,1,
адаптивность,1,
адаптивный,1,
адаптированность,1,
адаптировать,1,
адекватность,1,
адекватный,1,
адреналин,1,
адски,-1,
адский,-1,
ажиотажный,-1,
азартный,-1,
аид,-1,
аист,1,
аквапарк,1,
акклиматизироваться,1,
аккуратист,1,
аккуратненький,1,
аккуратненько,1,
аккуратность,1,
аккуратный,1,
актив,1,
активизироваться,1,
активизм,1,
активист,1,
активистка,1,
активность,1,
активный,1,
актриска,-1,
актрисочка,-1,
актуализироваться,1,
актуальность,1,
актуальный,1,
актёришка,-1,
акция,1,
аленький,1,
алкашка,-1,
алкоголизм,-1,
алкоголический,-1,
алкоголичка,-1,
алкогольный,-1,
алконавт,-1,
аллерген,-1,
аллергический,-1,
аллергия,-1,
алмаз,1,
алогичность,-1,
алогичный,-1,
алфавит,1,
алчность,-1,
алчный,-1,
альтруизм,1,
альтруист,1,
альтруистически,1,
альтруистический,1,
альфонс,-1,
альцгеймер,-1,
амбал,-1,
амбарчик,1,
амбициозность,1,
амбициозный,1,
амбиция,1,
амнезия,-1,
амнистия,1,
аморалка,-1,
аморальность,-1,
аморальный,-1,
ампутация,-1,
ампутировать,-1,
амулет,1,
амур,1,
амурный,1,
амфетамин,-1,
анализировать,1,
анархизм,-1,
анархист,-1,
анархистка,-1,
анархистский,-1,
анархический,-1,
анархия,-1,
ангажированный,-1,
ангел,1,
ангелок,1,
ангелочек,1,
ангельски,1,
ангельский,1,
ангина,-1,
ангиозный,-1,
анекдот,1,
анекдотец,1,
анекдотический,1,
анекдотичный,1,
анемия,-1,
аннулировать,-1,
аномалия,-1,
аномальность,-1,
аномальный,-1,
анорексия,-1,
антагонист,-1,
антагонистический,-1,
антагонистичный,-1,
антиамериканизм,-1,
антибактериальный,1,
антивещество,-1,
антивирус,1,
антивоенный,1,
антигерой,-1,
антигосударственный,-1,
антигуманизм,-1,
антигуманность,-1,
антидемократический,-1,
антидот,1,
антикоммунизм,-1,
антикоммунист,-1,
антикоммунистический,-1,
антикоррозионный,1,
антиматерия,-1,
антимонопольный,1,
антинародный,-1,
антинаучный,-1,
антиобщественный,-1,
антиоксидант,1,
антипартийный,-1,
антипатичный,-1,
антипатия,-1,
антипатриотизм,-1,
антиправительственный,-1,
антиреклама,-1,
антирелигиозный,-1,
антисанитария,-1,
антисанитарный,-1,
антисептик,1,
антисистема,-1,
антисоветизм,-1,
антисоветский,-1,
антисоветчик,-1,
антитело,-1,
антитеррор,1,
антитоксический,1,
антифашизм,1,
антифашист,1,
антихрист,-1,
аншлаг,1,
апатичность,-1,
апатичный,-1,
апатия,-1,
апгрейд,1,
аплодировать,1,
аплодисменты,1,
апокалипсис,-1,
апокалипсический,-1,
апостол,1,
аппендикс,-1,
аппендицит,-1,
аппетит,1,
аппетитность,1,
аппетитный,1,
аптечка,1,
арбуз,1,
аргументированность,1,
аргументированный,1,
арест,-1,
арестант,-1,
арестантка,-1,
арестование,-1,
арестовать,-1,
арестовывать,-1,
аристократичный,1,
аристократишка,-1,
аритмичный,-1,
аритмия,-1,
армагеддон,-1,
аромат,1,
ароматерапия,1,
ароматический,1,
ароматичность,1,
ароматичный,1,
ароматный,1,
артистизм,1,
артистически,1,
